County,Sub county,PCN,Proportion of functional Community Health Committees  in the PCN,Proportion of Health facilities that have received supportive supervision in the PCN,Functional PCN Management committee,Functionallity of MDTs ,Governance Score,Governance Weighted Score,POPULATION HEALTH NEEDS ,Number of population profiling assessments conducted,Proportion of population health needs that have been addressed ,Number of wellness activities conducted within the PCN ,Population Needs Score,Population Needs Weighted Score,CAPACITY READINESS ,1.HPTS ,Proportion  of  facilities in the PCN that had all 22  tracer pharmaceuticals  at the time of assessment ,Proportion of facilities in the PCN that have all 23 tracer non-pharmaceuticals at the time of assessment ,Availability of the whole blood and blood components in the hospitals ,Percentage of Health facilities with stock out on any of the 22 tracer pharmaceuticals for 7 consecutive days in a month*,Percentage of Health facilities with stock out on any of the 22 tracer non-pharmaceuticals for 7 consecutive days in a month*,Proportion of hospitals with comprehensive lab services within the PCN,Proportion of spokes with basic lab services within the PCN,2.EQUIPMENT,Proportion of Facilities within the PCN with all basic  tracer equipment available and functional **List provided below the  template,Capacity Readiness Score,Capacity Readiness Weighted Score,HEALTH CARE FINANCING ,Proportion of clients accessing Health Services using SHIF,Proportion of the target Health Facilities empanneled on SHA within the PCN,Proportion of Health Facilities in the PCN making SHA claims,Proportion of claims reimbursed to HFs within the PCN,Proportion of FIF collected rolled back to the facilities within PCN,Number of people waived for user fees in Hospitals within the PCN,Total amount of user fees  waived in Health care Facilities within the PCN,Healthcare Financing Score,Healthcare Financing Weighted Score,HEALTH INFRASTRUCTURE,Proportion of health facilities with accessible road network,Proportion of  facilities with the appropriate WASH facilities ***,Proportion of  facilities with the tracer list of infrastructure as per KEPH standards,Proportion of facilties with a reliable power source,PCN access to adequate ambulance services,Ambulance request Score,Health infrastructure Score,Health infrastructure Weighted Score,HMIS/ DIGITAL HEALTH,Proprtion of facilties with  reliable internet connection,Proportion of facilities in the PCN with the key OPD reporting tools (6),No of performance and data quality review meetings held quarterly within the PCN,Proportion of facilities with ICT infrastructure ,Proportion of facilities in a PCN with an integrated functional EMR,Proportion of CHUs within the PCN reporting monthly,HMIS Score,HMIS Weighted Score,HRH ,Core HRH density,Doctor to population ratio,Clinical officer to  population ratio,Nurse to population ratio,CHA/CHO  to population ratio,Proportion of CHPs trained on basic modules,Health care workers sensitized on PHC /PCN ,Does the PCN have a mechanism to enhance health workers skills?,Proportion of health workers who have undergone a skills/ competency buliding course within the last 2 years,HRH Score,HRH Weighted Score,SERVICE DELIVERY,SERVICE DELIVERY PROCESSES ,Number of outreaches conducted  by the MDT,Number of in-reaches conducted within the PCN,Service Delivery Score ,Service Delivery Weighted Score ,QUALITY OF CARE -MANAGEMENT SYSTEMS ,Proportion of hospitals with functional facility quality improvement teams (QIT),Proportion of spokes with functional facility work improvement teams (WIT),Average availability of selected IPC items  *(items defined below),QoC Management Systems Score,QUALITY OF CARE -PHC CORE SYSTEMS,Adherence to clinical guidelines for Primary health care facilities,Provider Availability (absenteeism) for Primary health care facilities,QoC PHC Core Systems Score,QUALITY OF CARE OUTCOMES ,Proportion of facilities conducting MPDSR,"Fresh Stillbirth rate per 1,000 births in health facilities","Number of maternal deaths reported in Health facilities per 100,000 live births",Proportion of maternal deaths Audited,"Number of neonatal deaths per 1,000 live births",Proportion of neonatal deaths audited ,TB Treatment Success Rate,QoC Outcomes Score,QoC Outcomes Weighted Score,SOCIAL ACCOUNTABILITY,Proportion of facilities which have conducted a client satisfaction survey,No. of MDT engagements with the community ,No. of health facilities with functional GRMs ,Social Accountability Score,Social Accountability Weighted Score,MULTISECTORAL PARTNERSHIPS AND COORDINATION,Proportion of multi-sectoral actions implemented,Number of inter- PCN peer to peer learning sessions held ,Multisectoral Partnerships and Coordination Score,Multisectoral Partnerships and Coordination Weighted Score,INNOVATIONS AND LEARNING ,Number of PHC related innovations/ best practice implemented/adapted,Innovations and Learning Score,Innovations and Learning Weighted Score,Total PCN Score (Total Weighted Score)
Garissa,Garissa,Garissa,100,100,0,100,100,100,,0,100,25,42,22,,,70,85,5,16,9,100,100,,92,63,3,,23,60,60,43,2,100,100,61,0,,100,100,67,100,0,0,92,0,,60,69,69,0,0,100,66,0,,0,0,0,0,0,100,100,100,90,54,0,,,42,100,42,3,,100,100,100,100,,100,0,88,,100,45,17,100,28,100,100,95,0,,100,0,0,33,0,,74,100,87,0,,20,20,0,51
Garissa,Lagdera,Lagdera,100,100,0,100,100,100,,100,100,63,88,46,,,76,83,0,19,10,2,1,,88,47,2,,40,100,75,41,25,0,0,40,0,,60,100,51,100,0,0,78,0,,25,59,1,0,0,100,42,0,,10,30,30,40,20,95,100,100,100,58,0,,,83,67,24,0,,100,100,75,60,,75,0,36,,25,3,0,1,100,98,100,50,0,,0,50,25,33,0,,20,50,33,0,,100,100,0,48
Makueni,Kaiti,Kaiti,15,100,0,80,65,65,,100,100,100,100,50,,,74,83,65,37,23,60,0,,80,67,0,,0,4,100,100,100,240770,240770,77,0,,0,73,72,80,0,0,75,0,,40,100,100,0,0,100,68,0,,30,0,70,80,0,0,45,100,74,50,0,,,0,25,35,0,,40,20,87,53,,80,100,90,,100,3.3,0,0,9,9,0,31,0,,20,50,40,37,0,,100,100,100,0,,100,100,0,62
Makueni,Mbooni,Mbooni,15,100,0,80,65,65,,100,100,100,100,50,,,76,75,28,26,0,80,0,,86,57,0,,0,24,100,100,100,227900,227900,73,0,,0,73,65,60,0,0,66,0,,20,100,100,0,0,100,64,0,,30,0,50,80,60,0,40,100,87,56,0,,,33,17,43,0,,20,20,73,47,,20,100,60,,7,42.9,29,100,4.4,93,0,39,0,,20,100,40,53,0,,100,100,100,0,,100,100,0,63
Nyeri,Nyeri Central/South,Nyeri Central/South,30,31,0,70,44,2,,100,27,63,63,6,,,58,70,19,45,39,100,100,,83,70,3,,0,39,80,80,39,100,100,66,7,,100,80,74,100,0,0,89,4,,100,100,100,6,0,100,76,4,,100,50,100,100,100,100,52,100,86,88,4,,,100,1,36,3,,6,100,80,0,,58,40,0,,1,11,0,0,3,3,89,32,5,,100,75,0,83,4,,50,0,83,4,,0,0,0,51
Nyeri,Mukurwe-ini,Mukurwe-ini,100,0,0,70,57,3,,100,100,100,100,10,,,56,70,13,23,16,5,43,,100,40,2,,0,55,8,100,100,88,0,64,6,,100,100,61,22,0,0,71,4,,100,78,78,0,0,100,66,3,,30,30,30,80,100,99,54,100,55,64,3,,,1,100,37,3,,100,100,80,0,,60,20,0,,100,20,2,2,9,9,79,44,7,,100,0,0,33,2,,100,100,100,5,,100,100,5,46
Nairobi,Embakasi ,Embakasi East,85,100,100,100,96,0,,0,0,0,0,0,,,100,66,5,44,44,9,91,,100,57,9,,89,8,77,0,0,0,0,25,0,,100,100,100,100,100,0,83,0,,100,100,100,0,0,100,80,0,,10,50,100,80,100,100,75,100,100,79,0,,,100,50,75,11,,100,100,100,0,,100,100,0,,0,0,0,100,0,100,85,68,0,,100,0,0,33,0,,100,0,33,0,,0,0,0,55
Nairobi,Dagoreti North,Dagoreti North,75,23,0,100,50,3,,100,100,38,79,8,,,0,0,0,100,100,0,43,,81,41,6,,0,0,83,42,0,0,0,18,0,,100,83,61,100,100,0,74,0,,83,58,58,0,33,100,70,0,,100,0,0,20,100,52,13,100,58,49,0,,,42,25,34,0,,83,67,67,0,,67,0,0,,100,66,0,0,0,0,85,49,0,,5,0,0,2,0,,100,0,2,0,,100,100,0,41
West pokot, Pokot Central, Pokot Central,0,38,0,0,10,7,,0,0,0,0,0,,,8,8,12,0,0,50,43,,71,24,4,,0,12,100,100,70,0,100,55,0,,63,88,100,63,100,100,86,0,,38,64,64,0,13,100,43,0,,10,100,100,100,20,100,13,100,34,64,0,,,0,0,0,0,,13,13,88,0,,38,6,0,,6,30,6,6,23,0,80,24,0,,25,0,0,8,0,,0,0,8,0,,0,0,0,24
West pokot,Kacheliba,Kacheliba,0,100,0,0,25,1,,100,100,13,71,7,,,48,48,1,48,48,5,20,,48,33,5,,0,100,100,100,100,100,0,71,0,,100,71,48,24,100,0,57,0,,4,100,100,0,0,100,61,0,,100,100,100,100,20,100,26,100,26,49,0,,,0,0,0,0,,100,0,2,0,,48,100,0,,5,30,6,6,23,3,78,31,0,,0,0,0,0,0,,0,0,0,0,,100,100,0,38
